,id,case_number,date,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,latitude,longitude,GEOID
917,13320588,JG556506,2023-12-27T17:06:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.894594399,-87.71384789,17031231500
934,13320548,JG556499,2023-12-27T16:51:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,SIDEWALK,True,False,1532,15,28.0,25,18,2023,41.88571921,-87.747249806,17031251800
950,13320584,JG556482,2023-12-27T16:27:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),CTA STATION,True,False,122,1,42.0,32,18,2023,41.885741029,-87.631711749,17031839100
953,13320687,JG556552,2023-12-27T16:18:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,GROCERY FOOD STORE,True,False,634,6,9.0,49,18,2023,41.722330572,-87.625063541,17031834000
955,13320501,JG556433,2023-12-27T16:11:00.000,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,1112,11,37.0,23,18,2023,41.900853597,-87.725582308,17031231200
1019,13324782,JG561345,2023-12-31T23:25:00.000,2022,NARCOTICS,POSSESS - COCAINE,ALLEY,True,False,1024,10,22.0,30,18,2023,41.849901426,-87.709269243,17031300800
1119,13324759,JG561264,2023-12-31T20:21:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,2512,25,30.0,19,18,2023,41.929286579,-87.777577161,17031190601
1125,13324746,JG561231,2023-12-31T20:02:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,SIDEWALK,True,False,1834,18,42.0,8,18,2023,41.891926214,-87.628074136,17031081500
1158,13324610,JG561185,2023-12-31T19:11:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,False,False,1135,11,28.0,29,18,2023,41.868299858,-87.698920505,17031838600
1218,13324611,JG561110,2023-12-31T17:14:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,832,8,17.0,66,18,2023,41.764749804,-87.679301175,17031661000
1243,13324523,JG561048,2023-12-31T16:43:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,False,1121,11,27.0,23,18,2023,41.895490201,-87.713049543,17031231500
1247,13324501,JG561023,2023-12-31T16:34:00.000,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,1122,11,27.0,23,18,2023,41.892376532,-87.719885364,17031231500
1277,13324509,JG561011,2023-12-31T15:59:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,723,7,16.0,68,18,2023,41.774069965,-87.644639452,17031681000
1340,13324468,JG560881,2023-12-31T13:30:00.000,2026,NARCOTICS,POSSESS - PCP,STREET,True,False,1122,11,27.0,23,18,2023,41.89174292,-87.720457032,17031231500
1350,13324459,JG560910,2023-12-31T13:00:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,215,2,3.0,38,18,2023,41.813989891,-87.619718671,17031835800
1359,13324378,JG560807,2023-12-31T12:50:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1112,11,27.0,23,18,2023,41.897250817,-87.719467737,17031231200
1417,13324255,JG560677,2023-12-31T10:15:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.895468188,-87.715584109,17031231100
1680,13323932,JG560362,2023-12-30T23:15:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,1634,16,31.0,15,18,2023,41.942737473,-87.74697052,17031151002
1684,13323939,JG560349,2023-12-30T23:05:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,533,5,10.0,54,18,2023,41.66016043,-87.593259275,17031540102
1795,13323857,JG560225,2023-12-30T19:56:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,733,7,16.0,68,18,2023,41.7681086,-87.654193699,17031681100
1846,13323886,JG560170,2023-12-30T18:26:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,1112,11,27.0,23,18,2023,41.895429716,-87.719668825,17031231200
1929,13323770,JG559989,2023-12-30T16:08:00.000,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,STREET,True,False,323,3,5.0,69,18,2023,41.76551076,-87.60507347,17031841800
2045,13316273,JG551317,2023-12-22T19:55:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,2422,24,49.0,1,18,2023,42.019398729,-87.67543958,17031010202
2162,13316138,JG551149,2023-12-22T16:40:00.000,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,STREET,True,False,1432,14,32.0,22,18,2023,41.926494776,-87.687702181,17031830900
2217,13316019,JG550941,2023-12-22T15:28:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,1132,11,28.0,26,18,2023,41.875862502,-87.730408953,17031260600
2243,13316000,JG550902,2023-12-22T14:41:00.000,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.894539497,-87.713844747,17031231500
2255,13315914,JG550867,2023-12-22T14:28:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,734,7,17.0,67,18,2023,41.765994065,-87.661418855,17031671600
2261,13316041,JG550931,2023-12-22T14:09:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,2533,25,37.0,25,18,2023,41.906443068,-87.746046383,17031250800
2290,13315834,JG550776,2023-12-22T13:22:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1533,15,28.0,25,18,2023,41.880399914,-87.753008553,17031251800
2297,13315960,JG550903,2023-12-22T13:11:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.896284044,-87.712681905,17031836600
2307,13317095,JG552122,2023-12-22T13:00:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,SIDEWALK,True,False,1723,17,39.0,16,18,2023,41.960985348,-87.724603113,17031160400
2375,13315744,JG550586,2023-12-22T11:19:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENCE - PORCH / HALLWAY,True,False,1121,11,27.0,23,18,2023,41.896142407,-87.713895371,17031836600
2390,13315791,JG550572,2023-12-22T10:39:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,OTHER (SPECIFY),True,False,113,1,4.0,32,18,2023,41.877726094,-87.628737019,17031839100
2467,13315596,JG550358,2023-12-22T08:11:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,False,1122,11,27.0,23,18,2023,41.889914989,-87.719380053,17031231500
2688,13315363,JG550093,2023-12-21T21:47:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,821,8,14.0,57,18,2023,41.807008346,-87.723557758,17031570100
2711,13315368,JG550051,2023-12-21T20:56:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,723,7,16.0,68,18,2023,41.772003364,-87.643242849,17031681200
2751,13315367,JG550038,2023-12-21T19:43:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,1522,15,29.0,25,18,2023,41.880263631,-87.763607487,17031251900
2752,13315192,JG550010,2023-12-21T19:42:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,False,1121,11,27.0,23,18,2023,41.894548755,-87.708967018,17031836700
2755,13315382,JG550024,2023-12-21T19:36:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,1135,11,28.0,27,18,2023,41.873333597,-87.696087576,17031837400
2940,13314938,JG549661,2023-12-21T15:23:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,1121,11,27.0,23,18,2023,41.894558726,-87.713848235,17031231500
2947,13314995,JG549642,2023-12-21T15:06:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),CTA TRAIN,True,False,122,1,42.0,32,18,2023,41.885484761,-87.632438015,17031839100
2972,13315023,JG549706,2023-12-21T14:31:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,SIDEWALK,True,False,1112,11,36.0,23,18,2023,41.902729058,-87.719606282,17031230700
2988,13315022,JG549731,2023-12-21T14:14:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,True,False,1012,10,24.0,29,18,2023,41.855882121,-87.733658025,17031292500
3074,13317647,JG553031,2023-12-24T03:22:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,2424,24,49.0,1,18,2023,42.018388759,-87.675898955,17031010202
3091,13317554,JG552875,2023-12-24T02:48:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,1831,18,42.0,8,18,2023,41.89318177,-87.6345943,17031081800
3166,13317433,JG552793,2023-12-24T00:50:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,VEHICLE NON-COMMERCIAL,True,False,1234,12,25.0,31,18,2023,41.852940477,-87.666030128,17031310700
3261,13317428,JG552739,2023-12-23T22:04:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,True,False,532,5,9.0,53,18,2023,41.685341403,-87.621325127,17031491400
3298,13317362,JG552674,2023-12-23T21:27:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,False,False,1112,11,27.0,23,18,2023,41.899093323,-87.718138764,17031231200
3303,13317392,JG552644,2023-12-23T21:01:00.000,2033,NARCOTICS,MANUFACTURE / DELIVER - SYNTHETIC MARIJUANA,STREET,True,False,612,6,17.0,71,18,2023,41.750295358,-87.653732843,17031710700
3443,13317092,JG552429,2023-12-23T17:23:00.000,2027,NARCOTICS,POSSESS - CRACK,ALLEY,True,False,1112,11,27.0,23,18,2023,41.895984739,-87.718770971,17031231200
3587,13316916,JG552165,2023-12-23T13:35:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,VACANT LOT / LAND,True,False,734,7,17.0,67,18,2023,41.766048969,-87.661421947,17031671600
3596,13316939,JG552170,2023-12-23T13:22:00.000,2022,NARCOTICS,POSSESS - COCAINE,CTA STATION,True,False,121,1,34.0,28,18,2023,41.876121224,-87.641003973,17031841900
3616,13316846,JG552094,2023-12-23T12:34:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,True,False,1133,11,28.0,26,18,2023,41.876702961,-87.720692548,17031260800
3620,13316889,JG552097,2023-12-23T12:26:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,531,5,9.0,49,18,2023,41.690094161,-87.623030124,17031491400
3676,13316794,JG551965,2023-12-23T10:45:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.896125943,-87.71389553,17031231100
3687,13316834,JG551961,2023-12-23T10:17:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,524,5,21.0,53,18,2023,41.684819803,-87.647008859,17031530300
3691,13316772,JG551990,2023-12-23T10:10:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,True,False,1121,11,27.0,23,18,2023,41.894520289,-87.713844933,17031231500
3724,13316659,JG551824,2023-12-23T08:50:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,True,False,1122,11,28.0,26,18,2023,41.88336693,-87.72086759,17031260100
3953,13316420,JG551475,2023-12-22T23:16:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,2534,25,36.0,23,18,2023,41.907842292,-87.730622447,17031230600
4011,13323522,JG559868,2023-12-30T14:15:00.000,1821,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS,PARK PROPERTY,True,False,113,1,4.0,32,18,2023,41.876909148,-87.628426538,17031839100
4063,13323426,JG559757,2023-12-30T12:55:00.000,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,True,False,1122,11,27.0,23,18,2023,41.892376532,-87.719885364,17031231500
4090,13323430,JG559715,2023-12-30T11:58:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,832,8,16.0,66,18,2023,41.770153165,-87.682655498,17031660700
4091,13323328,JG559665,2023-12-30T11:53:00.000,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.897319903,-87.712411087,17031836600
4098,13323314,JG559639,2023-12-30T11:36:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),ALLEY,True,False,1112,11,27.0,23,18,2023,41.895984739,-87.718770971,17031231200
4103,13323388,JG559684,2023-12-30T11:25:00.000,2023,NARCOTICS,POSSESS - HEROIN (TAN / BROWN TAR),SIDEWALK,True,False,634,6,9.0,49,18,2023,41.722521805,-87.626259274,17031834000
4113,13323391,JG559650,2023-12-30T11:10:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,634,6,9.0,49,18,2023,41.721689256,-87.626539467,17031490600
4137,13323312,JG559610,2023-12-30T10:19:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,False,523,5,9.0,53,18,2023,41.663385023,-87.627283592,17031530502
4178,13323172,JG559483,2023-12-30T08:25:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,1121,11,27.0,23,18,2023,41.895994186,-87.713889457,17031836600
4179,13323192,JG559518,2023-12-30T08:25:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),VACANT LOT / LAND,True,False,1121,11,27.0,23,18,2023,41.895474874,-87.714787009,17031231500
4380,13323718,JG560126,2023-12-30T00:00:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,1112,11,27.0,23,18,2023,41.895429716,-87.719668825,17031231200
4448,13322903,JG559180,2023-12-29T22:30:00.000,2027,NARCOTICS,POSSESS - CRACK,POLICE FACILITY / VEHICLE PARKING LOT,True,False,1134,11,24.0,27,18,2023,41.873699424,-87.704705156,17031837300
4528,13322816,JG559086,2023-12-29T19:55:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,True,False,2233,22,21.0,75,18,2023,41.690520138,-87.643858146,17031750600
4573,13322693,JG559017,2023-12-29T18:48:00.000,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,1222,12,28.0,27,18,2023,41.880990603,-87.704652058,17031836900
4728,13322511,JG558698,2023-12-29T14:46:00.000,2027,NARCOTICS,POSSESS - CRACK,STREET,True,False,1122,11,27.0,23,18,2023,41.892318886,-87.719882242,17031231500
4809,13322404,JG558607,2023-12-29T11:42:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,APARTMENT,True,False,913,9,11.0,60,18,2023,41.840544355,-87.656599035,17031600600
4812,13322345,JG558487,2023-12-29T11:39:00.000,2026,NARCOTICS,POSSESS - PCP,GROCERY FOOD STORE,True,False,1533,15,28.0,25,18,2023,41.876128106,-87.745112291,17031252202
4824,13322447,JG558483,2023-12-29T11:12:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,False,False,1112,11,27.0,23,18,2023,41.897983927,-87.720055761,17031231200
4838,13322304,JG558446,2023-12-29T10:58:00.000,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,STREET,True,False,421,4,7.0,43,18,2023,41.755902933,-87.554440264,17031431400
4893,13322190,JG558284,2023-12-29T08:32:00.000,2031,NARCOTICS,POSSESS - METHAMPHETAMINE,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1434,14,32.0,24,18,2023,41.911006482,-87.687237402,17031240500
4898,13322268,JG558343,2023-12-29T08:19:00.000,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),STREET,True,False,1121,11,27.0,23,18,2023,41.894577935,-87.713848049,17031231500
4966,13322126,JG558146,2023-12-29T02:57:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,1823,18,27.0,8,18,2023,41.89682348,-87.638683107,17031081800
5034,13319810,JG555370,2023-12-26T00:00:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,True,False,1134,11,28.0,27,18,2023,41.876527161,-87.70843746,17031271300
5254,13318678,JG554187,2023-12-25T14:38:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,STREET,True,False,124,1,28.0,28,18,2023,41.873921135,-87.643873311,17031841900
5335,13318503,JG554025,2023-12-25T10:00:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.894594399,-87.71384789,17031231500
5656,13318210,JG553648,2023-12-24T20:22:00.000,2020,NARCOTICS,POSSESS - AMPHETAMINES,STREET,False,False,2023,20,48.0,77,18,2023,41.976869607,-87.659879738,17031030703
5902,13317809,JG553217,2023-12-24T11:58:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,732,7,6.0,68,18,2023,41.766639191,-87.638388421,17031681200
5995,13317617,JG552993,2023-12-24T07:30:00.000,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,STREET,True,False,1115,11,28.0,26,18,2023,41.87853945,-87.728048395,17031260700
6015,13320481,JG556311,2023-12-27T14:55:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1122,11,28.0,26,18,2023,41.878888916,-87.724075637,17031260800
6037,13320473,JG556300,2023-12-27T14:07:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,333,3,7.0,43,18,2023,41.761246054,-87.576195158,17031430900
6049,13320544,JG556379,2023-12-27T13:53:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,SIDEWALK,True,False,2535,25,36.0,23,18,2023,41.902740858,-87.7182213,17031230700
6050,13320539,JG556377,2023-12-27T13:53:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,SIDEWALK,True,False,2535,25,36.0,23,18,2023,41.902740858,-87.7182213,17031230700
6057,13320392,JG556223,2023-12-27T13:38:00.000,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,1121,11,36.0,23,18,2023,41.898545493,-87.706654407,17031836600
6065,13320347,JG556208,2023-12-27T13:17:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,1115,11,28.0,26,18,2023,41.879662652,-87.733957173,17031260600
6073,13320402,JG556197,2023-12-27T12:58:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1114,11,28.0,26,18,2023,41.881970794,-87.731901202,17031260300
6122,13320414,JG556248,2023-12-27T11:46:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,GAS STATION,True,False,1131,11,24.0,25,18,2023,41.870932257,-87.744921277,17031831400
6128,13320314,JG556078,2023-12-27T11:31:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),CTA TRAIN,True,False,121,1,34.0,28,18,2023,41.876121224,-87.641003973,17031841900
6211,13320106,JG555864,2023-12-27T08:20:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,False,1112,11,27.0,23,18,2023,41.895445293,-87.717964416,17031231200
6370,13319930,JG555676,2023-12-26T23:51:00.000,2022,NARCOTICS,POSSESS - COCAINE,STREET,True,False,132,1,4.0,33,18,2023,41.866131212,-87.612306846,17031330101
6396,13319912,JG555644,2023-12-26T22:52:00.000,2025,NARCOTICS,POSSESS - HALLUCINOGENS,POLICE FACILITY / VEHICLE PARKING LOT,True,False,321,3,6.0,42,18,2023,41.76680404,-87.605619683,17031421200
6400,13319906,JG555642,2023-12-26T22:40:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY / VEHICLE PARKING LOT,True,False,321,3,6.0,42,18,2023,41.76680404,-87.605619683,17031421200
6471,13319804,JG555557,2023-12-26T20:10:00.000,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.896274163,-87.713901444,17031231100
6495,13319795,JG555499,2023-12-26T19:42:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),CTA BUS STOP,True,False,1112,11,27.0,23,18,2023,41.895445687,-87.718037872,17031231200
6523,13319775,JG555475,2023-12-26T18:43:00.000,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,1732,17,30.0,21,18,2023,41.941592322,-87.727261298,17031161300
6600,13319532,JG555257,2023-12-26T16:13:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.895490974,-87.713192782,17031836600
6682,13319444,JG555101,2023-12-26T14:25:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),VACANT LOT / LAND,True,False,1122,11,28.0,26,18,2023,41.879328725,-87.723179151,17031260800
6705,13319370,JG555037,2023-12-26T13:33:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1112,11,27.0,23,18,2023,41.895445687,-87.718037872,17031231200
6710,13319452,JG555110,2023-12-26T13:30:00.000,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,CTA BUS STOP,True,False,623,6,17.0,44,18,2023,41.750741553,-87.625814076,17031842400
6732,13319507,JG555157,2023-12-26T12:45:00.000,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,NURSING / RETIREMENT HOME,True,False,2011,20,39.0,4,18,2023,41.975808335,-87.700028083,17031040300
6763,13319338,JG554951,2023-12-26T11:50:00.000,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.894539497,-87.713844747,17031231500
6776,13319350,JG554935,2023-12-26T11:20:00.000,1821,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS 10 GRAMS OR LESS,PARK PROPERTY,True,False,113,1,4.0,32,18,2023,41.876911374,-87.628342059,17031839100
6788,13319323,JG554851,2023-12-26T10:51:00.000,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,SIDEWALK,True,False,1532,15,28.0,25,18,2023,41.883684786,-87.755185882,17031251800
6801,13319188,JG554808,2023-12-26T10:06:00.000,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,True,False,1121,11,27.0,23,18,2023,41.894539497,-87.713844747,17031231500
6812,13319182,JG554796,2023-12-26T09:37:00.000,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,True,False,1115,11,28.0,26,18,2023,41.880683591,-87.729258324,17031260200
